result_type,donor_cm3,fermi_dirac_fermi_level_eV,boltzmann_fermi_level_eV,electron_ratio_fd_mb,hole_ratio_fd_mb,scope_notes
NUMERICAL RESULT,1000000000000000.0,0.8590025387307485,0.8590022159861104,1.0,0.9999875157579261,
NUMERICAL RESULT,1111402986935651.5,0.8617331448381185,0.8617327861387833,1.0,0.9999861249864724,
NUMERICAL RESULT,1235216599369488.0,0.864463754950981,0.8644633562914931,0.9999999999999929,0.999984579281394,
NUMERICAL RESULT,1372823418051741.2,0.8671943695155476,0.867193926444232,1.0,0.9999828613831654,
NUMERICAL RESULT,1525760047357916.0,0.8699249890277365,0.8699244965969901,0.9999999999999928,0.9999809521096783,
NUMERICAL RESULT,1695734273980669.0,0.8726556140387243,0.8726550667497678,1.0,0.9999788301420416,
NUMERICAL RESULT,1884644137151273.8,0.8753862451610533,0.8753856369025619,0.9999999999987423,0.99997647178784,
NUMERICAL RESULT,2094599123340681.0,0.8781168830756391,0.8781162070553153,1.0000000000020606,0.9999738507082437,
NUMERICAL RESULT,2327943722113630.0,0.8808475285390465,0.8808467772081857,0.9999999999999858,0.9999709376470209,
NUMERICAL RESULT,2587283606175186.5,0.8835781823922663,0.8835773473610103,0.9999999999999929,0.9999677000705154,
NUMERICAL RESULT,2875514727952746.0,0.8863088455699417,0.8863079175138417,1.0000000000000069,0.9999641018315859,
NUMERICAL RESULT,3195855657624139.5,0.8890395191108366,0.8890384876666785,1.0,0.9999601027545015,
NUMERICAL RESULT,3551883523698655.0,0.8917702041694358,0.8917690578195193,1.0,0.9999556581885246,
NUMERICAL RESULT,3947573957486212.0,0.8945009020288358,0.8944996279723639,1.0,0.9999507185096501,
NUMERICAL RESULT,4387345487499567.0,0.8972316141150717,0.8972301981252112,1.0,0.999945228566692,
NUMERICAL RESULT,4876108879525671.0,0.8999623420129022,0.8999607682780608,0.9999999999946283,0.9999391270712146,
NUMERICAL RESULT,5419321973328261.0,0.9026930874841965,0.9026913384311464,0.9999999999908055,0.9999323458959192,
NUMERICAL RESULT,6023050628323039.0,0.9054238524862334,0.9054219085837288,1.0000000000013998,0.9999248093208263,
NUMERICAL RESULT,6694036458782878.0,0.9081546391949121,0.908152478736617,1.0000000000000853,0.9999164332337769,
NUMERICAL RESULT,7439772114947442.0,0.910885450028581,0.9108830488894742,1.0000000000074323,0.999907124105644,
NUMERICAL RESULT,8268584950673156.0,0.9136162876741991,0.9136136190425707,0.9999999999907274,0.9998967780474466,
NUMERICAL RESULT,9189730011909286.0,0.916347155119286,0.9163441891951862,1.0000000000008171,0.9998852795143528,
NUMERICAL RESULT,1.0213493384368222e+16,0.9190780556834073,0.9190747593479106,1.0000000000110205,0.9998725001787672,
NUMERICAL RESULT,1.1351307054434358e+16,0.921808993055582,0.9218053295009013,0.9999999999977192,0.999858297418493,
NUMERICAL RESULT,1.2615876565921974e+16,0.9245399713368937,0.9245358996537589,0.9999999999999929,0.9998425126666899,
NUMERICAL RESULT,1.4021322898177172e+16,0.9272709950842708,0.927266469806617,1.0000000000000069,0.9998249697644548,
NUMERICAL RESULT,1.5583340149823356e+16,0.9300020693626136,0.9299970399594754,0.9999999999969518,0.9998054729233118,
NUMERICAL RESULT,1.731937078894794e+16,0.9327331998014721,0.932727610112334,1.0000000000068638,0.9997838045439498,
NUMERICAL RESULT,1.9248800426682812e+16,0.9354643926563218,0.9354581802651925,1.0000000000018616,0.9997597228530505,
NUMERICAL RESULT,2.139317428914352e+16,0.9381956548807434,0.9381887504180514,1.0000000000003055,0.9997329591203309,
NUMERICAL RESULT,2.3776437804989092e+16,0.9409269942023193,0.9409193205708689,1.0000000000015914,0.9997032147320499,
NUMERICAL RESULT,2.6425203995154624e+16,0.9436584192095983,0.9436498907237687,1.0000000000049738,0.9996701578486896,
NUMERICAL RESULT,2.936905065059852e+16,0.9463899394473155,0.9463804608767968,0.999999999993463,0.9996334197291398,
