result_type,reduced_fermi_energy,boltzmann_density_error_percent
NUMERICAL RESULT,-10.0,0.0016051160078189852
NUMERICAL RESULT,-9.94142259414226,0.0017019470451185015
NUMERICAL RESULT,-9.882845188284518,0.0018046195035203993
NUMERICAL RESULT,-9.824267782426778,0.001913485764970524
NUMERICAL RESULT,-9.765690376569038,0.0020289194681666345
NUMERICAL RESULT,-9.707112970711297,0.002151316789844593
NUMERICAL RESULT,-9.648535564853557,0.00228109780515684
NUMERICAL RESULT,-9.589958158995817,0.0024187079289417213
NUMERICAL RESULT,-9.531380753138075,0.0025646194435013925
NUMERICAL RESULT,-9.472803347280335,0.002719333119327594
NUMERICAL RESULT,-9.414225941422593,0.0028833799339933464
NUMERICAL RESULT,-9.355648535564853,0.0030573228930741436
NUMERICAL RESULT,-9.297071129707113,0.0032417589625355347
NUMERICAL RESULT,-9.238493723849372,0.0034373211166283113
NUMERICAL RESULT,-9.179916317991632,0.003644680509173881
NUMERICAL RESULT,-9.121338912133892,0.003864548777099408
NUMERICAL RESULT,-9.06276150627615,0.004097680481018884
NUMERICAL RESULT,-9.00418410041841,0.004344875693984562
NUMERICAL RESULT,-8.94560669456067,0.004606982746646615
NUMERICAL RESULT,-8.887029288702928,0.0048849011369256345
NUMERICAL RESULT,-8.828451882845188,0.005179584615722099
NUMERICAL RESULT,-8.769874476987448,0.0054920444583883565
NUMERICAL RESULT,-8.711297071129707,0.005823352933043147
NUMERICAL RESULT,-8.652719665271967,0.0061746469798062975
NUMERICAL RESULT,-8.594142259414227,0.006547132108125631
NUMERICAL RESULT,-8.535564853556485,0.006942086533223701
NUMERICAL RESULT,-8.476987447698745,0.007360865558236895
NUMERICAL RESULT,-8.418410041841003,0.007804906222741437
NUMERICAL RESULT,-8.359832635983263,0.00827573223021183
NUMERICAL RESULT,-8.301255230125523,0.008774959172774821
NUMERICAL RESULT,-8.242677824267783,0.009304300070800409
NUMERICAL RESULT,-8.184100418410042,0.009865571245382121
NUMERICAL RESULT,-8.125523012552302,0.010460698545822211
NUMERICAL RESULT,-8.06694560669456,0.01109172395130642
NUMERICAL RESULT,-8.00836820083682,0.011760812570238421
NUMERICAL RESULT,-7.94979079497908,0.012470260060926108
NUMERICAL RESULT,-7.891213389121338,0.013222500499909806
NUMERICAL RESULT,-7.832635983263598,0.014020114722845811
NUMERICAL RESULT,-7.774058577405858,0.014865839167899075
NUMERICAL RESULT,-7.715481171548117,0.015762575251709876
NUMERICAL RESULT,-7.656903765690377,0.016713399309020716
NUMERICAL RESULT,-7.598326359832636,0.017721573130868862
NUMERICAL RESULT,-7.539748953974895,0.018790555136005693
NUMERICAL RESULT,-7.481171548117155,0.019924012215288833
NUMERICAL RESULT,-7.422594142259414,0.021125832287083313
NUMERICAL RESULT,-7.364016736401673,0.02240013760901327
NUMERICAL RESULT,-7.305439330543933,0.02375129888860794
NUMERICAL RESULT,-7.2468619246861925,0.02518395024266873
NUMERICAL RESULT,-7.188284518828452,0.026703005055561668
NUMERICAL RESULT,-7.129707112970712,0.02831367278970376
NUMERICAL RESULT,-7.071129707112971,0.0300214768060858
NUMERICAL RESULT,-7.01255230125523,0.03183227325438409
NUMERICAL RESULT,-6.95397489539749,0.033752271097275965
NUMERICAL RESULT,-6.895397489539748,0.035788053335772396
NUMERICAL RESULT,-6.836820083682008,0.037946599508509316
NUMERICAL RESULT,-6.778242677824268,0.04023530953951582
NUMERICAL RESULT,-6.719665271966527,0.0426620290158608
NUMERICAL RESULT,-6.661087866108787,0.045235075979754846
NUMERICAL RESULT,-6.602510460251046,0.04796326932561268
NUMERICAL RESULT,-6.543933054393305,0.050855958896667275
NUMERICAL RESULT,-6.485355648535565,0.053923057383475914
NUMERICAL RESULT,-6.426778242677824,0.05717507412965617
NUMERICAL RESULT,-6.368200836820083,0.06062315095862747
NUMERICAL RESULT,-6.309623430962343,0.06427910014166205
NUMERICAL RESULT,-6.2510460251046025,0.06815544463190104
NUMERICAL RESULT,-6.192468619246862,0.07226546070064899
NUMERICAL RESULT,-6.133891213389122,0.07662322311587921
NUMERICAL RESULT,-6.075313807531381,0.08124365301283021
NUMERICAL RESULT,-6.01673640167364,0.08614256861609881
NUMERICAL RESULT,-5.958158995815899,0.09133673897958605
NUMERICAL RESULT,-5.899581589958159,0.09684394092195348
NUMERICAL RESULT,-5.841004184100418,0.10268301934373003
NUMERICAL RESULT,-5.7824267782426775,0.10887395112464393
NUMERICAL RESULT,-5.7238493723849375,0.11543791280934634
NUMERICAL RESULT,-5.665271966527197,0.12239735230170634
NUMERICAL RESULT,-5.606694560669456,0.12977606480106818
NUMERICAL RESULT,-5.548117154811716,0.13759927322563037
NUMERICAL RESULT,-5.489539748953975,0.1458937133816951
NUMERICAL RESULT,-5.430962343096234,0.1546877241534128
NUMERICAL RESULT,-5.372384937238493,0.1640113430004142
NUMERICAL RESULT,-5.313807531380753,0.17389640706750864
NUMERICAL RESULT,-5.2552301255230125,0.1843766602269481
NUMERICAL RESULT,-5.196652719665272,0.1954878663910975
NUMERICAL RESULT,-5.138075313807532,0.20726792944971706
NUMERICAL RESULT,-5.079497907949791,0.21975702020746724
NUMERICAL RESULT,-5.02092050209205,0.23299771071429998
NUMERICAL RESULT,-4.96234309623431,0.24703511640207232
NUMERICAL RESULT,-4.903765690376569,0.2619170464640108
NUMERICAL RESULT,-4.845188284518828,0.277694162931863
NUMERICAL RESULT,-4.7866108786610875,0.2944201489315734
NUMERICAL RESULT,-4.7280334728033475,0.3121518866214368
NUMERICAL RESULT,-4.669456066945607,0.33094964533744164
NUMERICAL RESULT,-4.610878661087866,0.35087728050167133
