result_type,temperature_K,electron_incomplete_cm3,hole_incomplete_cm3,electron_complete_cm3,intrinsic_boltzmann_analytical_cm3,ionized_donor_fraction,fermi_level_eV,bandgap_eV,scope_notes
NUMERICAL RESULT,100.08194756024744,936485822052844.5,3.101730961023429e-37,1000000000000553.0,1.704377692884608e-11,0.9364858220529843,1.0882884376770832,1.1630635489617858,
NUMERICAL RESULT,101.8979551201276,942954649100644.0,3.687017568069751e-36,1000000000000062.8,5.89652195585676e-11,0.9429546491006574,1.0865359290389902,1.1628442688426,
NUMERICAL RESULT,103.74691451136124,948755549466954.5,4.2017835133081846e-35,1000000000000013.0,1.996671633759608e-10,0.948755549466941,1.0847384801980424,1.1626177830767028,
NUMERICAL RESULT,105.62942365171803,953952370793170.8,4.5938671309624325e-34,1000000000012447.5,6.620105929986981e-10,0.9539523708088014,1.0828956127345448,1.1623838677736056,
NUMERICAL RESULT,107.54609130830845,958604604871284.0,4.821761600336979e-33,999999999998933.0,2.1499815337231764e-09,0.9586046048712771,1.0810067990241308,1.1621422926912068,
NUMERICAL RESULT,109.49753729444777,962767209541550.0,4.8619345619875816e-32,999999999999977.5,6.841904943516696e-09,0.9627672095415772,1.0790714614707928,1.1618928210827224,
NUMERICAL RESULT,111.48439267009145,966490586833598.5,4.712802538695704e-31,1000000000000005.9,2.1342731555633488e-08,0.9664905868335985,1.077088972433922,1.1616352095410765,
NUMERICAL RESULT,113.5072999459082,969820678059804.1,4.3944433401342675e-30,999999999999991.8,6.528432998547418e-08,0.969820678059749,1.0750586546718164,1.1613692078407538,
NUMERICAL RESULT,115.56691329105487,972799142971015.2,3.944279086486847e-29,999999999999700.4,1.9588737118624937e-07,0.9727991429710152,1.0729797821552065,1.1610945587771253,
NUMERICAL RESULT,117.66389874472245,975463595419608.6,3.4099812584548765e-28,1000000000000005.9,5.767562306529739e-07,0.9754635954192135,1.070851581124718,1.1608109980032473,
NUMERICAL RESULT,119.79893443152062,977847873563406.8,2.8414175431937724e-27,1000000000000133.9,1.666915870621013e-06,0.9778478735633997,1.0686732312909266,1.1605182538641514,
NUMERICAL RESULT,121.97271078076948,979982327558826.6,2.283450095009962e-26,1000000000006621.1,4.730588066421939e-06,0.9799823275604281,1.0664438670972585,1.1602160472286327,
NUMERICAL RESULT,124.18593074977139,981894111912364.1,1.7708939602533246e-25,999999999999991.8,1.3186775138227897e-05,0.9818941119136896,1.0641625789847802,1.1599040913185519,
NUMERICAL RESULT,126.4393100511342,983607473176028.8,1.3261898714587762e-24,999999999999991.8,3.611798461130197e-05,0.9836074731760287,1.0618284146138917,1.1595820915356676,
